,review_body,stars,language,translated_review
163,Nunca me ha llegado...,1,es,It has never reached me...
164,"El producto ok, pero me encontre el paquete tal y como aparece en la foto en mi buzón...Una vecina me aviso de que alguien había roto el paquete en que había venido la compra y lo había introducido en el buzón bajo la excusa de que tenia prisa y con el paquete no entraba en buzón. Mientras, yo me encontraba en casa....Es esto normal en los envíos de Amazon?",1,es,"The product was ok, but I found the package just as it appears in the photo in my mailbox... A neighbor told me that someone had torn up the package in which the purchase had come and had put it in the mailbox under the excuse of I was in a hurry and the package didn't fit in the mailbox. Meanwhile, I was at home...Is this normal for Amazon shipments?"
165,El pedido llego puntual.es tal y como se ve en la imagen.para lo quees la muñeca y sus complementos es caro,3,es,"The order arrived on time. It is just as seen in the image. For what the doll and its accessories are, it is expensive."
166,"El producto no se pega bien en los bordes y además queda bastante pequeño, no cubre en absoluto toda la pantalla. No lo recomiendo",1,es,"The product does not stick well on the edges and is also quite small, it does not cover the entire screen at all. I do not recommend it"
167,"Buena calidad/precio, se adapta perfectamente al telefono y parece proteger perefectamente de los golpes, aunque el acabado en los huecos de los conectores de la funda no está muy conseguido.",3,es,"Good quality/price, it fits perfectly to the phone and seems to protect perfectly from bumps, although the finish in the connector gaps of the case is not very good."
168,Es muy grande y poco manejable.,1,es,It is very large and unwieldy.
169,Lo compre para regalo y le gusto mucho.,4,es,I bought it as a gift and he really liked it.
170,Bonita en apariencia pero poca potencia de tiro,1,es,Pretty in appearance but little shooting power
171,Perfecto calidad/precio,5,es,Perfect quality/price
172,"Buen producto , es tal y como se describe. Cumple su función , facil de usar, no tiene ningun misterio.",5,es,"Good product, it is just as described. It fulfills its function, easy to use, it has no mystery."
173,El producto en sí está muy bien el problema es que es demasiado pequeño para la pantalla del Samsung A5 2017. No cubre la pantalla al completo por los lados.,2,es,"The product itself is very good, the problem is that it is too small for the screen of the Samsung A5 2017. It does not cover the entire screen on the sides."
174,La caja venia sin precinto creo que ya había sido usado y no funcionaba,1,es,"The box came without a seal, I think it had already been used and did not work."
175,"No tiene la forma rectangular bien hecha, tiene un lado irregular que no es recto. No se aprecia en exceso pero el corte no es perfecto. La calidad es media, para el precio no está mal...",2,es,"It does not have a well-made rectangular shape, it has an irregular side that is not straight. It is not overly appreciated but the cut is not perfect. The quality is average, for the price it's not bad..."
176,Cámara de exterior fácil de instalar y configurar con un software muy práctico que cubre casi todas las necesidades de un gadget de este tipo. La única pega es la alimentación por USB que puede ser un problema en exteriores.,5,es,Outdoor camera that is easy to install and configure with very practical software that covers almost all the needs of a gadget of this type. The only downside is the USB power which can be a problem outdoors.
177,"He reclamado la factura y no responden, te cobran el producto con iva y luego no te entregan la factura para poder desgravar.",1,es,"I have claimed the invoice and they do not respond, they charge you for the product with VAT and then they do not give you the invoice to be able to deduct the tax."
178,"Tengo otra de Decathlon y me parece mucho mejor que esta. No es que sea mala mala, pero teniendo en cuenta que la otra no es mucho más cara y es mejor, esta no puede tener una alta puntuación. Además, me pica durante la primera media hora y eso no me pasa ni me ha pasado con la otra que tengo. Sí me pican unas mangas que me he comprado, algo que me parece importante mencionar porque mi piel es bastante sensible.",3,es,"I have another one from Decathlon and I think it is much better than this one. It's not that she is bad bad, but considering that the other one is not much more expensive and is better, this one cannot have a high score. Also, it itches during the first half hour and that doesn't happen to me and hasn't happened to me with the other one I have. Yes, some sleeves that I bought do itch, something that I think is important to mention because my skin is quite sensitive."
179,esta bien como queria,3,es,It's fine as I wanted
180,"Equipo que cuando lo desembalas ves que no es de una calidad muy buena. Con mucha ilusión lo conecto, lleno de agua, etc, y observo que es muy difícil de trabajar con el, no es ni cómodo ni ergonómico. Luego hace un ruido que parece una máquina antígua, medio estropeada. La máxima presión, tampoco es gran cosa. El ruido insoportable. El mismo día lo devolví. No cumple ni de lejos, los mínimos parámetros que indican en su anuncio. No lo recomiendo",1,es,"Equipment that when you unpack it you see that it is not of very good quality. With great enthusiasm I connect it, filled with water, etc., and I notice that it is very difficult to work with, it is neither comfortable nor ergonomic. Then it makes a noise that sounds like an old, half-broken machine. Maximum pressure is not a big deal either. The unbearable noise. The same day I returned it. It does not even remotely meet the minimum parameters indicated in their advertisement. I do not recommend it"
181,Muy buena calidad y durabilidad. Después de muchísimo uso aún funciona perfectamente.,5,es,Very good quality and durability. After a lot of use it still works perfectly.
182,En persona el color no es tan vivo como el de a foto. En seguida se le fue el color y se fue oscureciendo,2,es,In person the color is not as vivid as the photo. Immediately the color faded and it began to darken.
183,"Es muy bonita pero la bateria dura muy poquitas horas. La luz tiene dos opciones, fría o calida. Voy a pedir un tamaño mayor , diametro 18 ó 20, pues es preciosa.",4,es,"It is very pretty but the battery lasts very few hours. The light has two options, cold or warm. I'm going to order a larger size, diameter 18 or 20, because it's beautiful."
184,Al abrirla salió muchísimo líquido y la crema olía mal. Parecía yogur.,1,es,"When I opened it, a lot of liquid came out and the cream smelled bad. It looked like yogurt."
185,"Pero para un funcionamiento óptimo recomiendo que el agua que se pone en el depósito esté bien fria, y se añadan los enfriadores. Este verano hubo días infernales y le sacamos más partido poniendo agua fria del frigorífico.",4,es,"But for optimal operation I recommend that the water put in the tank be very cold, and the coolers be added. This summer there were hellish days and we got more out of it by putting cold water from the refrigerator."
186,"Tenia entrega para hoy día 30 , ya es la tercera vez que me cambian fecha del paquete, Resulta un poco molesto ya que no siempre estas en casa para la hora de entrega que además no te dejan elegir ni te facilitan el teléfono del transportista ..",1,es,"I had delivery for today the 30th, this is the third time they have changed the date of the package. It is a little annoying since you are not always at home for the delivery time and they also do not let you choose nor do they provide you with the carrier's telephone number.."
187,"En su momento tuve una mini radio digital que me duró mucho tiempo. Esta Elbe tiene un funcionamiento un poco distinto y me cuesta habituarme (porque la anterior la tuve mucho tiempo). Pero estoy muy contento con ella. Además las pilas recargables que le puse me duran un monton. Además una cosa que me gusta que tiene ""un clip"", que te lo enganchas al cuello de una camisa, etc y puedes escucharla sin cascos.",4,es,"At the time I had a mini digital radio that lasted a long time. This Elbe works a little differently and it's hard for me to get used to it (because I had the previous one for a long time). But I am very happy with it. Plus the rechargeable batteries I put in last a long time. Also, one thing I like is that it has ""a clip"", that you can clip it to the collar of a shirt, etc. and you can listen to it without headphones."
188,"Tenia mis dudas, pero ha es perfecta, con su bolsita incluida es muy bonita, es ligera y queda perfecta, solo una cosa, que para mi no me ha importado, al contrario mejor, en la foto parece que las runas sena negras, pero vienen en plata todas. por lo demas me encanta",5,es,"I had my doubts, but it is perfect, with its included bag it is very pretty, it is light and fits perfectly, only one thing, which for me did not matter, on the contrary better, in the photo it seems that the runes are black, but They all come in silver. otherwise I love it"
189,"Buen teclado. Únicamente le echo en falta algún botón físico para hacer scroll, como la ruleta del ratón. Aunque se pueden usar 2 dedos para hacer scroll es un poco tosco, al menos en mi instalación. El software para Windows está bastante bien. También echo en falta que las teclas de parar y reanudar la música no sean independientes. Por lo demás, está bastante bien. El material se nota bueno",4,es,"Good keyboard. I only miss some physical button to scroll, like the mouse wheel. Although you can use 2 fingers to scroll, it is a bit rough, at least in my installation. The software for Windows is pretty good. I also miss that the music stop and resume keys are not independent. Otherwise, it's pretty good. The material looks good"
190,Un rollazo de libro. Recorriendo iglesias. No engancha al lector. Hace falta tener a mano el diccionario para leerlo. Me esperaba más de un Premio Planeta.,3,es,A roll of a book. Touring churches. It doesn't hook the reader. You need to have the dictionary on hand to read it. I expected more from a Planeta Award.
191,"Cuando lo compré nadie mencionaba lo corto que es el grifo normal, es tan corto que salpicas toda la pared de detrás del grifo y como quieras lavar el plato de choca con la manilla del grifo. Lo devolví. El grifo que es tipo ducha va bien, pero el corto que también se hace servir es horroroso lo mal pensado que está para lavar que es básicamente para lo que sirve.",1,es,"When I bought it, no one mentioned how short the normal faucet is, it is so short that you splash the entire wall behind the faucet and when you want to wash the dish, it collides with the faucet handle. I returned it. The shower-type faucet works well, but the short one that is also used is horrifying how poorly designed it is for washing, which is basically what it is used for."
192,"El altavoz Funciona genial. Muy contenta . Bonito , fácil, no ocupa nada . Se oye genial, con muy buena calidad",4,es,"The speaker works great. Very happy . Nice, easy, doesn't take up anything. It sounds great, with very good quality"
193,"Le falta un poquito de potencia, por lo demas genial",4,es,"It lacks a little power, otherwise great"
194,El mejor regalo en dichas fechas,5,es,The best gift on these dates
195,De precio bien de durabilidad muy justo!,2,es,"Good price, very fair durability!"
196,"El telefono pierde mucha sensibilidad táctil, lo he devuelto.",2,es,"The phone loses a lot of touch sensitivity, I have returned it."
197,"Muy bonita, pero con el tiempo de acaba ennegreciendo del uso.",4,es,"Very pretty, but over time it ends up blackening from use."
198,Siempre he utilizado esta marca en las correas y estoy muy contenta. Aunque tengo un perro pequeño siempre utilizo la correa de cinta porque me parece mucho mas cómoda y resistente.,5,es,"I have always used this brand on straps and I am very happy. Although I have a small dog, I always use the ribbon leash because I find it much more comfortable and resistant."
199,"Es tal cual la foto, bonita y cómoda.",5,es,"It is just like the photo, pretty and comfortable."
200,"Tal cómo anunciado, y muy bonito, color tal como se ve en anuncio. Pelo no muy alto, fácil de limpiar.",5,es,"Just as advertised, and very pretty, color just as seen in the ad. Not very high pile, easy to clean."
201,"Los guantes son negro enteros, sosos y sencillos, nada que ver a los que aparecen en amazon. Una decepción que te envien un producto mal sabiendo que no es el que ofrecen.",1,es,"The gloves are completely black, bland and simple, nothing like the ones that appear on Amazon. A disappointment when they send you a bad product knowing that it is not the one they offer."
202,"No alumbran como unas de 50w tal y como anuncian y es normal al recibirlas son mas pequeñas q otras y con pocos leds,despues de conectarlas y encenderlas veo que alumbran como unas de 250 lumes o maximo 300 para nada lo que anuncian,si son baratas pero alumbran poco",2,es,"They do not light like 50w ones as advertised and it is normal when you receive them, they are smaller than others and with few LEDs, after connecting them and turning them on I see that they light like 250 lumens or a maximum of 300, not at all what they advertise, they are cheap but they illuminate little"
203,"Me has gustado mucho, pero venían dos copas rotas por lo que se me fastidiado el juego de seis",3,es,"I liked it a lot, but two glasses came broken so the set of six was ruined."
204,"Producto de gran calidad muy fácil de usar,cómodo y rapido,sus dos velocidades nos permite ir regulando para cuando este gruesa la piel ir rapido y cuando este fina para no lastimarse bajar de velocidad y poner el cabezal fino para no hacerte daño,trae tres cabezales",5,es,"High quality product, very easy to use, comfortable and fast, its two speeds allow us to regulate so that when the skin is thick, go quickly and when it is thin, so as not to hurt yourself, slow down and set the head thin so as not to hurt yourself, it comes with three heads"
205,"Me llegó antes de lo que esperaba, justo a tiempo. Y aunque la caja estaba un poco rota y la muñeca con los brazos un pico sueltos. La niña está encantada.",2,es,"It arrived earlier than I expected, just in time. And although the box was a little broken and the doll with the arms was a bit loose. The girl is delighted."
206,"Me pasa electricidad estatica. Algo exagerado.. la manta es muy agradable pero es exagerado lo de la electricidad, suena y se ve la luz azul de las chispas 😂😂",2,es,"I get static electricity. Something exaggerated... the blanket is very nice but the electricity thing is exaggerated, it sounds and you can see the blue light of the sparks 😂😂"
207,"He tenido varios auriculares de esta gama de precios y me compré éstos dejándome llevar por las buenas opiniones de otros compradores. Bueno, pues me han decepcionado completamente, por la calidad de sus materiales y sobre todo por la calidad de sonido, muy inferior a la de otros de un mismo precio, o incluso inferior... he tenido un par de ellos de la marca TaoTronics que ofrecían mucha más calidad. En estos los bajos apenas se aprecian, el sonido es muy metálico y agudo, como a lata... lo propio de auriculares baratos, pero que al final salen caros. Si no eres muy riguroso con esa calidad de sonido estos auriculares pueden servirte, pero a nada que desees una cierta calidad, mejor buscar otros...",1,es,"I have had several headphones in this price range and I bought these based on the good opinions of other buyers. Well, they have completely disappointed me, due to the quality of their materials and especially the sound quality, much lower than that of others of the same price, or even lower... I have had a pair of them from the TaoTronics brand that offered much higher quality. In these the bass is barely noticeable, the sound is very metallic and sharp, like a tin can... typical of cheap headphones, but in the end they are expensive. If you are not very strict with that sound quality, these headphones can help you, but unless you want a certain quality, it is better to look for others..."
208,"tienen un diseño muy bonito , actual, moderno, muy fácil de colocar",5,es,"They have a very nice design, current, modern, very easy to place."
209,"no me ha gustado. en La foto parece rígido pero es bastante endeble y los separadores de zapatos no están pegados entre sí, por lo que al final acaban mezclándose unos zapatos con otros.",1,es,"I didn't like it. In the photo it seems rigid but it is quite flimsy and the shoe dividers are not glued together, so in the end some shoes end up mixing with others."
210,Es un libro muy ameno e interesante. La trama te mantiene interesado hasta el final. Lo recomiendo a aquellos que les interesa un poco la historia.,5,es,It is a very enjoyable and interesting book. The plot keeps you interested until the end. I recommend it to those who are a little interested in history.
211,"Producto de buena calidad a buen precio que cumple con las características que ofrece, es una buena alternativa a los productos originales.",4,es,"Good quality product at a good price that meets the characteristics it offers, it is a good alternative to original products."
212,"El color no era el que aparece en la foto, elegí el turquesa y blanco y me ha llegado uno azul por completo. Pero la funcionalidad perfecta, al igual que el tamaño",3,es,"The color was not what appears in the photo, I chose turquoise and white and I received a completely blue one. But perfect functionality, as well as size"
213,Efectivamente si te vas de viaje está bastante bien. Yo lo compre porque habia perdido el original pero bueno lo cierto es que lo tengo que cargar cada dos días ..,3,es,Indeed if you go on a trip it is quite good. I bought it because I had lost the original but the truth is that I have to charge it every two days..
214,Rapidez. Justo lo que íbamos buscando.,5,es,Speed. Just what we were looking for.
215,"Muy chulo, me vino perfecto y a un precio inmejorable.",5,es,"Very cool, it suited me perfectly and at an unbeatable price."
216,Las agujas del reloj se mueven con el movimiento del segundero. Me puse en contacto con el vendedor pero sin efecto.. Totalmente desilusionado,1,es,The clock hands move with the movement of the second hand. I contacted the seller but without effect. Totally disappointed
217,Para mi esta muy bien he puesto con un ssd de WD BLUE tiene la velocidad real y es muy ligero para llevar rapido para copia los archivos muy contento con la compra,5,es,"For me it is very good, I have put it with a WD BLUE SSD, it has real speed and is very light to carry quickly to copy the files, very happy with the purchase"
218,Aun no lo tengo no me llegó en la fecha prevista con lo cual en formalidad cero cuando los vea opinaré sobre ellos.,1,es,"I don't have it yet, it didn't arrive on the expected date, so with zero formality when I see them I will give my opinion on them."
219,"esta funda evita roturas tanto de pantalla como de la parte trasera del móvil, pero si que es verdad que resulta difícil ver bien la pantalla cuando hay sol o mucha iluminación, ya que tiene como unos pequeños puntos la funda y eso impide ver la pantalla con claridad",3,es,"This case prevents breakages of both the screen and the back of the mobile, but it is true that it is difficult to see the screen well when there is sun or a lot of lighting, since the case has some small points and that prevents you from seeing the screen clearly. clarity"
220,"Ha llegado bien. No tiene mucha potencia. Lo he probado en la piscina desmontable, limpiando el fondo, pero no tiene potencia. No saca bien la suciedad del fondo de la piscina. Pensaba que tenia más potencia.",2,es,"It has arrived well. It doesn't have much power. I have tried it in the removable pool, cleaning the bottom, but it has no power. It does not remove dirt from the bottom of the pool well. He thought it had more power."
221,Pequeñas pero bonitas,3,es,Small but pretty
222,"El cargador lo he comprado para una tablet y cargar carga, pero la clavija se queda un poco suelta y no sé si será así porque el original era diferente.",2,es,"I bought the charger for a tablet and to charge it, but the plug is a little loose and I don't know if that's the case because the original was different."
223,Estupendo. El puerto jack de mi iPad se había inutilizado por un cuerpo extraño y esta ha sido la solución más barata y más rápida.,5,es,Great. The jack port on my iPad had been rendered useless by a foreign body and this was the cheapest and fastest solution.
224,Lo mas dificil ha sido acertar el modelo que necesitaba,5,es,The most difficult thing has been finding the model I needed.
225,"Estéticamente me encanta, yo la tengo para despacho en un salón y queda bonita, cabe destacar que si quieres cambiar la estantería de lado te toca hacer malabares que encima te las tienes que ingeniar tu para hacerlo por que no te viene explicado en ningún lado",4,es,"Aesthetically I love it, I have it for an office in a living room and it looks beautiful, it should be noted that if you want to change the shelf on one side you have to juggle and on top of that you have to manage to do it because it is not explained anywhere"
226,Ha durado 1 día. Lo he usado en el agua con los cascos siempre conectados y ya no funciona. La pantalla se ha mojado y ya no enciende. Es una pena porque la calidad de sonido es muy buena. No es acuático,1,es,It has lasted 1 day. I have used it in the water with the headphones always connected and it no longer works. The screen has gotten wet and no longer turns on. It's a shame because the sound quality is very good. It is not aquatic
227,No mucho. Esperaba mas,3,es,Not much. She expected more
228,"La talla, la calidad, etc está muy bien. Lo único a criticar es que el color no es exactamente el que aparece en las fotos. Realmente tienen un degradado muy marcado en al zona del empeine y la puntera tiene un color más homogéneo y oscuro de modo que resalta.",3,es,"The size, quality, etc. is very good. The only thing to criticize is that the color is not exactly what appears in the photos. They really have a very marked gradient in the instep area and the toe has a more homogeneous and darker color so that it stands out."
229,"Encaja con la descripción perfecto, funciona 100% como describen, es cómodo y bueno, un pequeño juguete para trastear con tu USB. Recomendable sobre otros similares.",5,es,"It fits the description perfectly, it works 100% as described, it is comfortable and good, a little toy to play with your USB. Recommended over other similar ones."
230,"Viene mal embalado, en una simple bolsa de plástico sin ninguna protección. El mío vino roto. Es de un plástico malo. Mala compra.",1,es,"It comes poorly packaged, in a simple plastic bag without any protection. Mine came broken. It's made of bad plastic. Bad purchase."
231,"Libro de instrucciones muy escueto, poco claro.",4,es,"Very brief, unclear instruction book."
232,"Envío en un día y todo perfecto, cd perfecto, no hay más que decir. Muy recomendable su compra. Sonido espectacular",5,es,"Shipping in one day and everything perfect, perfect CD, there's nothing more to say. Your purchase is highly recommended. Spectacular sound"
233,Lo compré un miércoles y me ponía que me llegaba el jueves. Llegó el sábado cuando ya estaba de viaje. El producto llego bien pero no llegó a tiempo.,2,es,I bought it on a Wednesday and it said it would arrive on Thursday. Saturday arrived when I was already traveling. The product arrived well but it did not arrive on time.
234,"El rascador en si esta bien, aún que no es muy estable. Vino en el tiempo que ponía pero el único fallo es que lo pedí beige tal como sale en la foto y me lo han traído negro",3,es,"The scratcher itself is fine, although it is not very stable. It came on time but the only mistake is that I ordered it in beige as it appears in the photo and they brought it in black"
235,"Es muy bonita, pelin grande...",3,es,"She is very pretty, big hair..."
236,Estoy encantada me acaba de yegar y la verdad k es preciosa es igual k en la foto la pega k le pongo k al abrir y cerrar los ojos uno cierra y se abre mas despacio k el otro un saludo,4,es,"I am delighted that it just arrived and the truth is that it is beautiful, it is the same that in the photo the drawback that I put is that when you open and close your eyes, one closes and opens more slowly, the other, greetings"
237,"El punto M es muy fino, no pesa y escribe suave",5,es,"The M point is very fine, it is not heavy and it writes smoothly"
238,Este producto no sirve absolutamente para nada. En mi opinión es un engaño.,1,es,This product is absolutely useless. In my opinion it is a hoax.
239,Parece que lo haya comprado en los chinos de abajo de mi casa. Estéticamente no es lo más bonito y además se nota que los materiales son de muy mala calidad,1,es,"It looks like I bought it at the Chinese store below my house. Aesthetically, it is not the most beautiful and you can also see that the materials are of very poor quality."
240,"Queda bien y es fácil de instalar pero la pantalla la deja casi muerta y además es muy caro, no volvería a comprarlo",2,es,"It looks good and is easy to install but the screen leaves it almost dead and it is also very expensive, I would not buy it again"
241,"llevo años usando este desodorante y a mi me va muy bien, tenia muchos problemas por usar desodorantes de spray de barra, incluso alguno natural. y desde que estoy utilizando este no he vuelto a los he vuelto a tener. la ultima entrega que me han echo, el contenido no se parecía nada al comprado anteriormente.",2,es,"I have been using this deodorant for years and it works very well for me, I had a lot of problems using stick spray deodorants, even some natural ones. and since I have been using this I have not had them again. The last delivery they made to me, the content did not look anything like the one purchased previously."
242,Potente precisa apariencia a las reales y funciona bien con bolas y perdigones de todo tipo,4,es,"Powerful, accurate appearance and works well with balls and shot of all types"
243,"banda de silicona que se corta segun medida de la cicatriz, va reduciendo la cicatriz para dejarla lo menos visible posible.",5,es,"Silicone band that is cut according to the size of the scar, reduces the scar to leave it as little visible as possible."
244,Producto no recibido. Aunque la aplicación decía que estaba entregado. Sin respuesta del fabricante después de escribirle en tres ocaciones. Mal.,1,es,Product not received. Although the application said it was delivered. No response from the manufacturer after writing to them three times. Evil.
245,"aunque es practico,a los pocos meses se han roto dos de los tubos.Tiene buena capacidad pero poca durabilidad. Una pena",2,es,"Although it is practical, two of the tubes broke after a few months. It has good capacity but little durability. a shame"
246,está bien pero me duró muy poco tiempo.,3,es,It's okay but it lasted a very short time.
247,"Es compatible con la camara National Geographic. Lo unico negativo es que en los videos se ve un poco el borde negro que rodea el objetivo de la camara, pero se puede arreglar quitando el efecto ojo de pez de la camara. La he usado en el agua y es completamente impermeable.",5,es,"It is compatible with the National Geographic camera. The only negative thing is that in the videos you can see the black border that surrounds the camera lens a little, but it can be fixed by removing the fisheye effect from the camera. I have used it in water and it is completely waterproof."
248,"En general es buen producto, quizás por poner alguna pega, son demasiado grandes",5,es,"In general it is a good product, perhaps because there are some drawbacks, they are too big"
249,"De momento no puedo valorar su efectividad, es pronto",3,es,"At the moment I cannot assess its effectiveness, it is early"
250,"A mi no me valen pero se oye super bien por ellos, sólo los probé un momento. Una lástima que no me valgan",5,es,"They don't work for me but they sound great, I only tried them for a moment. It's a shame they're not worth it to me."
251,"Me encantó la agenda de echo me compre la de este año y la de 2019. Pero al revisarla bien le faltaba alguna hoja, parecía estar usada. Gestione la devolución y me lo solucionaron al momento. Es la ventaja de comprar a través de Amazon.",3,es,"I loved the agenda, in fact I bought the one for this year and the one for 2019. But when I checked it carefully, it was missing some pages, it seemed to be used. I managed the return and they solved it immediately. This is the advantage of buying through Amazon."
252,"Hay que buscarle el punto exacto para que se quede, y la base para apoyar es demasiado pequeña, en otra tablet samsung que tengo la superficie de apoyo es mas grande y es mas estable al dejarlo en cualquier silla o cojín.",3,es,"You have to find the exact spot for it to stay, and the base to support it is too small, in another Samsung tablet that I have the support surface is larger and it is more stable when left on any chair or cushion."
253,"No tenía ninguna función de desconexión, por lo que se quedaba todo el rato en funcionamiento",2,es,"It didn't have any shutdown function, so it stayed on all the time."
254,Una de las cápsulas llegó rota. En el paquete faltaban los dos cepillos. Al usarlas la cafetera pierde agua. Lo hemos devuelto.,2,es,One of the capsules arrived broken. The two brushes were missing from the package. When using them the coffee maker loses water. We have returned it.
255,"El producto llama bastante la atención. Para captar clientes va genial. El programa para configurar lo que quieras poner en la pantalla esta en inglés, pero practicando aprendes muy rápido. Tiene muchos modos de uso, parpadeo,escribir, dibujar, etc. Lo recomiendo.",4,es,"The product attracts quite a bit of attention. It's great for attracting clients. The program to configure what you want to put on the screen is in English, but by practicing you learn very quickly. It has many modes of use, flashing, writing, drawing, etc. I recommend it."
256,Tras varios usos estoy contenta con el resultado. El olor que deja es muy bueno y el tacto del champu mas fino que otros que habia usado.,5,es,After several uses I am happy with the result. The smell it leaves is very good and the feel of the shampoo is finer than others I have used.
257,"LOS BOTONES SON INUTILES ESTO DEBERIA SER TIMO pero bueno, ya lo page y lo estoy usando igual, tampoco es que hagan mucha falta",3,es,"THE BUTTONS ARE USELESS THIS SHOULD BE SCAMMED but hey, I already paid for it and I'm using it anyway, it's not like they're needed much"
258,Super flojo es como remover con una cuchara esperaba algo mejor...,2,es,"Super weak, it's like stirring with a spoon, I expected something better..."
259,"Grande y comodo para echar las cascaras de pipas. Tal como se ve, no se puede esperar ni más ni menos",4,es,"Large and comfortable for pouring pipe shells. As you can see, you can't expect more or less."
260,Nada que ver es un saco las tallas no cuadran y no se adaptan a la forma,1,es,"Nothing to do with it, it's a jacket, the sizes don't fit and they don't adapt to the shape."
261,"Aunque la pantalla esta a un buen precio para lo que es, lo pagas con la calidad del color , tengo una Philips mas antigua y al compararlo claramente se ve una gran diferencia de colores. La pantalla perfecta por lo demás, aunque para edición de vídeos, diseño, fotografía, o cualquier otro trabajo color sensitive la pantalla no cumple las condiciones necesarias. La pude devolver sin problemas :)",2,es,"Although the screen is at a good price for what it is, you pay for it with the color quality, I have an older Philips and when comparing it you clearly see a big difference in colors. The perfect screen otherwise, although for video editing, design, photography, or any other color sensitive work the screen does not meet the necessary conditions. I was able to return it without problems :)"
262,"Hace unos días realicé un pedido por amazon de un pack 2 pistones para bisagra de canape de 135. Después de Mas de una semana de espera por el producto (tengo amazon prime), he recibido el paquete roto y con sólo uno de los pistones. Me gustaría saber que puedo hacer para recibir el pistón que falta. Creo que no se ha cumplido ni con el plazo de entrega ni con le mercancía y por lo tanto creo que merezco una compensación por ello. Por lo menos recibir el producto completo. Quedó a la espera de su respuesta. Gracias.",1,es,"A few days ago I placed an order through Amazon for a pack of 2 pistons for a 135 canape hinge. After more than a week of waiting for the product (I have Amazon Prime), I received the package broken and with only one of the pistons. I would like to know what I can do to receive the missing piston. I believe that neither the delivery time nor the merchandise has been met and therefore I believe that I deserve compensation for it. At least receive the complete product. I await your response. Thank you."
263,Da menos luz que otras que he comprado. Trae un led fundido de los 5.,2,es,It gives less light than others I have bought. It has a burned out LED of the 5.
264,"Cumple con su función, aunque el olor es intenso. Incluso una vez consumido el producto, el olor dura un par de horas",3,es,"It does its job, although the smell is intense. Even once the product is consumed, the smell lasts a couple of hours"
265,"Me vino la punta del color negro rota, quise sacarle punta y se me rompía el lapiz. Compré otros lápices.",2,es,"The black tip came broken, I tried to sharpen it and my pencil broke. I bought other pencils."
266,"Algunos cartuchos la impresora no los cogía y los he tenido que tirar directamente, pero también es verdad que me costaron poco, por lo que no me ha molestado en exceso, pues es una impresora con más de 10 años y te sale esto más barato que comprar algo nuevo.",2,es,"The printer did not take some cartridges and I had to throw them away, but it is also true that they cost me little, so it did not bother me too much, since it is a printer that is more than 10 years old and this is cheaper than buy something new."
267,El cansado está genial es practico pesa poco y deja tu bicicleta amarrada,5,es,"The tired one is great, it is practical, it weighs little and leaves your bike tied up."
268,La perdona q lo usa esta contenta con el.,4,es,The person who uses it is happy with it.
269,Iluminan una barbaridad y su instalación en muy sencilla. Le han dado otro aire renovado a mi Ford Focus II,5,es,They illuminate a lot and their installation is very simple. They have given another renewed look to my Ford Focus II
270,"Útil cuando tiene aún bebé muy pequeño, prematuro, y el maxicoxi se queda grande y la trona. Se queda en niño bien adaptado.",4,es,"Useful when you have a very small, premature baby, and the maxicoxi becomes too big and puts her in a high chair. He remains a well-adjusted child."
271,Cuando llegará el pedido ? Por favor contacte conmigo ates de anular la ya lleva mucho tiempo si no anulamos,2,es,"When will the order arrive? Please contact me before canceling, it will take a long time if we don't cancel."
272,"Las bolsas están Bien, me hubieran gustado con un poco más de resistencia, pero si las vas a usar para poner detalles poco pesados y no muy grandes es perfecto. Como ejemplo, es el tamaño exacto para poner una bolsa de un kilo de arroz.",4,es,"The bags are good, I would have liked them with a little more resistance, but if you are going to use them to put light and not very large details, it is perfect. As an example, it is the exact size to put a one kilo bag of rice."
273,Solo hay 100 juegos. Los demás son los mismos repetidos y solo son GBA. Llegó sin manual de usuario y en una caja que no era la suya. Al encender hace un ruido anormal.,1,es,There are only 100 games. The rest are the same repeated and are only GBA. It arrived without a user manual and in a box that was not its own. When turned on it makes an abnormal noise.
274,"Son de muy buena calidad, mejor de lo que esperaba, llegaron en el plazo estipulado, yo lo necesito para poner un cristal y van geniales.",4,es,"They are of very good quality, better than I expected, they arrived within the stipulated time, I need them to put a glass in and they look great."
275,Perfecta para un niño de 4 años,5,es,Perfect for a 4 year old
276,"Perfecto, todas las condiciones cumplidas , la caja esta un poco magullada pero la muñeca esta perfecta e intacta y segun las condiciones en que la compre, la recomiendo.",5,es,"Perfect, all conditions met, the box is a little bruised but the doll is perfect and intact and depending on the conditions in which I bought it, I recommend it."
277,"No tienen la calidad de las originales DJI, pero cumplen su función, sobre todo si estás aprendiendo...",4,es,"They don't have the quality of the original DJI ones, but they do the job, especially if you're learning..."
278,Igual que en la descripción,5,es,Same as in the description
279,"Los demas colores que he probado, como si fuera la original. Perfectas. La de color naranja es goma malucha",1,es,"The other colors that I have tried, as if it were the original. Perfect. The orange one is bad rubber"
280,"Producto defectuoso,no enciende.Tanto trabajo cuesta probar los productos antes de enviarlos?",1,es,"Defective product, it does not turn on. Is it so much work to test the products before sending them?"
